type,latency(ms),packetLoss(%),bandwidth(Mbps),connection_type,qos
cellular,48,0.11,143.52,p2p,Excellent
cellular,700,7.6,5.36,p2p,Poor
wifi,399,2.96,11.8,server,Good
wifi,325,1.08,21.14,p2p,Poor
wifi,275,2.39,5.05,p2p,Poor
wifi,305,4.45,22.83,server,Good
wifi,1002,6.6,44.32,server,Poor
cellular,124,0.93,30.99,p2p,Fair
cellular,81,0.68,32.49,p2p,Fair
cellular,396,3.39,5.76,server,Fair
cellular,842,3.65,9.57,server,Fair
wifi,30,0.01,148.73,p2p,Excellent
wifi,326,3.94,17.75,server,Good
cellular,158,1.82,42.17,server,Good
cellular,90,2.03,45.16,p2p,Fair
cellular,167,0.96,39.26,server,Good
wifi,40,0.02,106.35,server,Good
cellular,133,0.59,42.98,server,Good
cellular,551,6.44,7.86,p2p,Poor
wifi,656,12.66,35.59,server,Poor
cellular,64,0.04,176.16,p2p,Good
cellular,472,4.11,9.51,server,Fair
wifi,328,2.23,6.03,server,Fair
cellular,646,6.47,6.26,p2p,Poor
wifi,32,0.06,252.15,p2p,Excellent
wifi,84,0.96,86.97,server,Good
wifi,190,1.82,24.21,server,Good
wifi,180,1.53,11.32,p2p,Poor
cellular,159,1.9,10.51,p2p,Poor
wifi,178,4.67,13.13,server,Good
wifi,105,0.14,71.45,p2p,Good
wifi,99,0.46,40.43,server,Good
cellular,42,0.0,53.81,p2p,Good
wifi,188,2.72,13.62,p2p,Poor
cellular,47,0.03,135.04,server,Good
wifi,146,0.75,81.06,server,Good
wifi,3516,13.33,44.54,server,Poor
cellular,461,3.52,4.68,p2p,Poor
wifi,34,0.04,113.57,server,Good
wifi,137,0.52,74.67,p2p,Fair
cellular,120,2.84,39.92,server,Good
wifi,1152,13.1,47.97,p2p,Poor
wifi,95,0.88,28.29,server,Good
wifi,2871,3.61,17.48,server,Poor
cellular,69,0.25,153.41,server,Good
wifi,108,0.19,50.0,server,Good
wifi,29,0.02,186.44,p2p,Excellent
cellular,146,1.22,27.6,server,Good
wifi,105,0.98,54.36,p2p,Good
wifi,235,2.5,20.24,p2p,Fair
cellular,137,2.55,45.56,server,Good
wifi,241,3.76,12.72,server,Good
wifi,182,3.88,2.55,p2p,Poor
wifi,136,0.54,43.27,server,Good
cellular,156,1.59,11.24,p2p,Poor
cellular,251,9.74,6.26,p2p,Poor
wifi,148,0.71,52.63,server,Good
wifi,53,0.94,81.88,server,Good
wifi,301,4.96,24.95,server,Good
wifi,1917,0.55,35.63,p2p,Poor
cellular,193,1.69,47.46,p2p,Fair
cellular,748,4.31,3.8,server,Poor
wifi,188,1.9,11.15,p2p,Poor
cellular,167,1.97,14.34,p2p,Poor
cellular,49,0.41,186.01,p2p,Good
cellular,149,2.2,17.47,server,Good
cellular,169,0.51,40.68,p2p,Fair
wifi,329,2.73,22.7,p2p,Poor
cellular,172,0.96,29.54,server,Good
wifi,487,1.82,7.51,p2p,Poor
cellular,174,2.22,12.28,p2p,Poor
cellular,148,1.23,13.63,server,Good
wifi,458,3.37,19.76,server,Fair
wifi,3569,6.98,30.08,p2p,Poor
cellular,633,5.67,4.26,p2p,Poor
cellular,49,0.1,55.51,server,Good
wifi,366,1.49,24.08,server,Good
wifi,41,0.01,224.84,p2p,Excellent
cellular,574,8.37,5.64,server,Fair
wifi,131,0.15,32.66,p2p,Fair
wifi,352,1.76,14.13,server,Good
cellular,235,8.5,4.66,p2p,Poor
wifi,15,0.09,102.56,p2p,Excellent
wifi,352,1.44,17.04,p2p,Poor
wifi,315,3.2,13.57,p2p,Poor
wifi,141,0.22,99.98,server,Good
cellular,389,4.35,4.82,server,Poor
wifi,38,0.07,107.72,server,Good
wifi,138,0.45,63.41,p2p,Fair
cellular,200,6.44,1.55,server,Poor
cellular,163,1.99,24.8,server,Good
cellular,143,2.24,15.26,server,Good
cellular,84,1.58,25.75,server,Good
wifi,48,0.04,240.62,p2p,Excellent
wifi,445,1.28,19.5,server,Fair
cellular,823,9.6,5.97,p2p,Poor
cellular,165,1.16,12.63,p2p,Poor
cellular,525,4.33,1.21,server,Poor
wifi,61,0.97,71.35,p2p,Good
wifi,123,0.8,28.73,server,Good
cellular,79,0.44,163.44,p2p,Good
cellular,81,1.54,27.99,server,Good
cellular,111,2.09,34.89,p2p,Fair
wifi,93,0.74,67.44,p2p,Good
wifi,18,0.08,280.41,p2p,Excellent
wifi,1818,13.02,29.2,server,Poor
wifi,19,0.03,152.85,p2p,Excellent
wifi,452,2.67,21.06,server,Fair
wifi,55,0.84,67.71,server,Good
cellular,169,2.86,15.21,p2p,Fair
cellular,71,0.35,197.74,p2p,Good
cellular,108,1.01,45.02,server,Good
wifi,2456,1.55,40.19,server,Poor
cellular,976,7.51,1.97,p2p,Poor
cellular,522,9.99,4.54,p2p,Poor
cellular,802,8.62,8.44,server,Fair
wifi,306,4.5,14.19,p2p,Poor
wifi,141,0.55,37.26,p2p,Fair
wifi,74,0.27,86.49,server,Good
cellular,48,0.34,89.43,p2p,Good
wifi,188,2.84,13.94,p2p,Poor
wifi,101,0.49,74.19,server,Good
wifi,83,0.3,36.99,server,Good
wifi,20,0.03,107.02,server,Good
wifi,133,0.39,55.64,server,Good
wifi,179,3.42,1.61,server,Poor
wifi,28,0.08,216.52,server,Good
wifi,57,0.94,30.57,p2p,Fair
wifi,75,0.47,58.8,server,Good
wifi,44,0.01,177.28,server,Good
cellular,895,4.87,9.61,p2p,Poor
cellular,142,1.24,44.9,server,Good
cellular,93,1.92,39.64,p2p,Fair
cellular,46,0.09,130.37,p2p,Excellent
cellular,88,2.94,11.92,server,Good
cellular,70,0.5,153.82,server,Good
wifi,126,0.13,69.56,server,Good
wifi,47,0.05,297.48,p2p,Excellent
wifi,95,0.6,46.91,p2p,Good
wifi,3709,0.42,8.78,p2p,Poor
wifi,326,1.08,4.04,server,Poor
wifi,1552,10.0,20.9,server,Poor
cellular,161,1.13,31.55,server,Good
wifi,162,4.94,1.99,server,Poor
wifi,262,1.19,5.1,server,Fair
cellular,79,0.33,171.83,server,Good
cellular,254,8.24,8.51,p2p,Poor
wifi,100,0.55,32.5,server,Good
cellular,911,5.73,3.5,server,Poor
wifi,51,0.14,90.07,p2p,Excellent
cellular,124,0.77,22.53,p2p,Fair
wifi,145,0.22,52.94,server,Good
wifi,173,2.65,21.5,p2p,Fair
wifi,39,0.06,137.79,p2p,Excellent
cellular,95,1.95,30.04,server,Good
wifi,388,2.37,12.39,p2p,Poor
wifi,440,2.38,20.22,p2p,Poor
wifi,25,0.1,261.64,server,Good
cellular,140,1.85,21.84,server,Good
wifi,219,4.52,13.1,p2p,Poor
wifi,234,4.78,13.56,p2p,Poor
cellular,114,2.65,45.61,server,Good
wifi,35,0.03,126.2,p2p,Excellent
cellular,849,7.78,6.58,server,Fair
cellular,936,4.29,8.76,server,Fair
wifi,456,3.67,16.45,server,Fair
wifi,20,0.06,152.47,p2p,Excellent
cellular,68,0.24,97.74,server,Good
cellular,142,1.86,24.07,server,Good
wifi,460,1.56,8.97,p2p,Poor
cellular,314,9.29,4.47,p2p,Poor
wifi,297,1.94,7.35,p2p,Poor
wifi,49,0.07,211.96,server,Good
wifi,91,0.58,92.29,p2p,Good
wifi,127,0.63,57.27,server,Good
cellular,48,0.45,125.36,server,Good
cellular,137,0.57,37.78,server,Good
cellular,568,4.85,9.87,server,Fair
cellular,557,8.11,8.56,server,Fair
wifi,129,0.98,35.19,server,Good
wifi,248,2.64,9.42,server,Fair
wifi,45,0.1,264.57,p2p,Excellent
wifi,30,0.05,252.39,p2p,Excellent
cellular,318,8.98,1.86,server,Poor
cellular,140,1.78,42.91,p2p,Fair
wifi,84,0.3,39.42,p2p,Fair
cellular,118,1.71,10.71,p2p,Poor
cellular,539,9.91,3.15,server,Poor
cellular,123,1.85,29.45,p2p,Fair
cellular,148,2.46,21.39,server,Good
cellular,40,0.09,83.19,server,Good
cellular,134,2.7,27.23,server,Good
wifi,19,0.06,241.66,server,Good
cellular,352,8.83,9.25,server,Fair
cellular,328,8.22,1.16,p2p,Poor
cellular,907,7.42,1.84,p2p,Poor
cellular,968,3.64,4.59,p2p,Poor
cellular,182,0.58,19.01,p2p,Fair
wifi,41,0.07,196.74,server,Good
cellular,149,1.38,47.22,p2p,Fair
wifi,134,0.61,98.69,p2p,Fair
cellular,158,2.34,42.51,p2p,Fair
wifi,99,0.18,95.37,p2p,Good
wifi,30,0.04,213.48,server,Good
cellular,171,1.58,35.07,server,Good
cellular,62,0.31,60.62,server,Good
cellular,99,2.16,23.01,server,Good
wifi,389,4.45,22.18,p2p,Poor
wifi,110,0.16,39.57,p2p,Fair
wifi,124,0.17,38.2,server,Good
wifi,116,0.72,63.43,server,Good
wifi,39,0.08,274.21,server,Good
cellular,137,2.31,39.71,server,Good
wifi,18,0.06,141.27,server,Good
wifi,475,2.32,16.89,server,Fair
cellular,41,0.26,100.72,server,Good
cellular,70,0.3,55.79,p2p,Good
cellular,153,2.96,41.8,p2p,Fair
wifi,141,0.44,31.56,server,Good
wifi,68,0.98,80.5,p2p,Good
cellular,43,0.26,111.27,server,Good
wifi,154,3.14,19.91,server,Good
cellular,189,1.85,20.01,p2p,Fair
wifi,276,1.31,5.16,server,Fair
cellular,999,7.8,9.71,p2p,Poor
wifi,773,12.76,24.23,server,Poor
cellular,516,5.0,3.94,server,Poor
wifi,20,0.02,166.06,server,Good
wifi,345,2.36,5.31,p2p,Poor
wifi,22,0.04,163.05,server,Good
wifi,129,0.67,81.96,p2p,Fair
wifi,121,0.2,75.17,server,Good
wifi,63,0.44,29.18,server,Good
wifi,1955,6.78,44.3,p2p,Poor
cellular,140,0.91,42.25,server,Good
cellular,75,0.46,71.52,server,Good
cellular,964,9.72,5.72,p2p,Poor
cellular,75,0.07,136.32,server,Good
wifi,35,0.03,157.03,server,Good
cellular,718,9.8,9.61,server,Fair
cellular,315,6.97,9.85,server,Fair
wifi,146,0.95,33.79,p2p,Fair
wifi,65,0.56,29.1,server,Good
cellular,352,8.08,2.09,server,Poor
wifi,409,2.14,17.69,server,Fair
cellular,176,1.19,39.79,p2p,Fair
cellular,149,1.23,45.05,server,Good
wifi,70,0.54,29.0,server,Good
wifi,142,0.33,43.89,p2p,Fair
cellular,137,2.43,34.4,p2p,Fair
cellular,125,0.55,49.56,server,Good
wifi,1958,7.77,8.53,p2p,Poor
wifi,28,0.08,256.88,p2p,Excellent
wifi,136,0.45,61.69,p2p,Fair
wifi,86,0.58,62.39,server,Good
cellular,85,2.5,34.14,p2p,Fair
wifi,259,4.76,2.22,p2p,Poor
wifi,413,3.72,6.51,server,Fair
wifi,37,0.09,245.87,server,Good
wifi,364,3.21,20.33,server,Good
wifi,3001,1.18,8.46,server,Poor
wifi,228,2.46,23.65,p2p,Fair
wifi,57,0.12,38.62,p2p,Fair
wifi,416,3.15,17.97,server,Fair
cellular,51,0.14,140.57,p2p,Excellent
cellular,386,4.37,9.99,server,Fair
cellular,61,0.12,196.12,p2p,Good
wifi,124,0.76,84.67,p2p,Fair
wifi,2667,3.48,49.73,server,Poor
cellular,139,0.72,16.86,server,Good
wifi,249,2.95,19.85,server,Good
wifi,174,2.27,19.9,server,Good
wifi,39,0.09,252.26,server,Good
cellular,615,7.67,5.27,server,Fair
wifi,428,1.6,4.38,server,Poor
wifi,72,0.98,36.91,server,Good
cellular,160,0.92,13.31,server,Good
cellular,78,0.02,159.39,p2p,Good
cellular,270,6.89,9.94,server,Fair
wifi,3406,0.82,21.72,p2p,Poor
cellular,685,8.3,2.67,p2p,Poor
cellular,95,2.16,38.67,server,Good
wifi,268,3.79,7.64,p2p,Poor
wifi,156,4.75,1.69,p2p,Poor
wifi,37,0.02,187.92,p2p,Excellent
wifi,144,0.55,48.05,server,Good
wifi,215,3.6,3.39,p2p,Poor
wifi,305,3.6,2.7,p2p,Poor
cellular,651,7.6,7.01,server,Fair
wifi,140,0.92,35.99,server,Good
cellular,856,5.39,4.5,p2p,Poor
wifi,556,11.18,44.37,p2p,Poor
wifi,1357,6.62,28.87,p2p,Poor
wifi,421,4.76,5.78,p2p,Poor
wifi,48,0.09,169.99,p2p,Excellent
wifi,28,0.03,237.46,server,Good
wifi,60,0.88,87.8,server,Good
wifi,106,0.25,67.66,server,Good
wifi,118,0.88,72.99,p2p,Good
wifi,138,0.9,32.89,p2p,Fair
cellular,365,6.82,7.34,p2p,Poor
cellular,709,7.17,4.7,server,Poor
wifi,144,0.14,55.21,p2p,Fair
wifi,149,0.38,29.05,p2p,Fair
cellular,964,4.2,9.25,server,Fair
wifi,62,0.36,60.58,p2p,Good
cellular,130,2.31,16.09,server,Good
cellular,44,0.13,82.52,server,Good
wifi,466,1.18,2.75,server,Poor
cellular,245,3.98,1.74,p2p,Poor
wifi,58,0.74,83.56,p2p,Good
wifi,341,3.97,24.49,server,Good
cellular,77,0.38,95.6,p2p,Good
cellular,67,0.44,64.56,server,Good
cellular,461,7.38,3.05,p2p,Poor
cellular,47,0.24,135.39,server,Good
wifi,36,0.1,292.37,server,Good
cellular,94,1.98,19.74,server,Good
wifi,278,1.75,14.26,p2p,Poor
wifi,273,2.76,8.19,p2p,Poor
cellular,94,2.3,33.58,p2p,Fair
cellular,192,2.55,25.66,server,Good
cellular,107,0.79,40.59,server,Good
cellular,899,6.9,4.36,p2p,Poor
wifi,499,1.8,9.81,server,Fair
cellular,961,6.9,2.94,server,Poor
cellular,91,1.46,11.68,p2p,Poor
wifi,130,0.77,36.31,p2p,Fair
cellular,121,2.17,10.52,p2p,Poor
cellular,65,0.09,130.1,p2p,Good
wifi,49,0.04,169.42,server,Good
cellular,267,4.67,7.02,server,Fair
wifi,2660,10.8,40.4,p2p,Poor
wifi,174,1.64,24.12,server,Good
wifi,147,0.84,44.38,p2p,Fair
cellular,187,1.25,34.98,p2p,Fair
cellular,154,1.28,34.92,p2p,Fair
wifi,137,0.81,88.87,server,Good
cellular,141,2.18,33.0,p2p,Fair
cellular,109,1.84,36.79,server,Good
wifi,101,0.36,95.06,p2p,Good
cellular,79,0.42,59.82,p2p,Good
cellular,832,9.38,5.21,server,Fair
cellular,338,9.53,2.84,p2p,Poor
cellular,105,2.51,24.23,server,Good
cellular,161,2.9,43.81,p2p,Fair
cellular,140,3.0,17.25,p2p,Fair
cellular,426,8.35,5.24,p2p,Poor
cellular,923,7.69,2.93,server,Poor
cellular,875,8.08,2.1,server,Poor
wifi,130,0.15,92.58,server,Good
cellular,88,0.62,47.24,server,Good
cellular,170,1.13,28.76,p2p,Fair
cellular,90,2.9,47.86,server,Good
cellular,166,2.25,40.03,p2p,Fair
wifi,432,4.33,14.32,server,Fair
wifi,285,4.08,16.93,server,Good
wifi,2010,7.38,6.12,p2p,Poor
cellular,463,4.88,6.0,server,Fair
wifi,35,0.07,102.66,p2p,Excellent
wifi,188,3.23,16.42,p2p,Fair
wifi,288,4.54,16.38,server,Good
wifi,108,0.37,40.8,p2p,Good
wifi,186,1.61,10.37,server,Good
cellular,118,1.71,11.5,server,Good
cellular,57,0.46,163.64,server,Good
wifi,109,0.26,67.64,server,Good
cellular,190,1.99,21.77,p2p,Fair
cellular,168,2.6,43.27,server,Good
cellular,176,2.71,46.16,server,Good
cellular,76,0.43,54.8,server,Good
cellular,84,2.97,34.81,p2p,Fair
wifi,344,1.51,19.36,p2p,Poor
wifi,30,0.02,245.37,p2p,Excellent
cellular,745,5.26,2.56,server,Poor
wifi,75,0.43,76.47,server,Good
wifi,70,0.22,62.52,server,Good
cellular,69,0.45,93.75,p2p,Good
cellular,132,2.23,30.78,p2p,Fair
wifi,48,0.09,207.34,p2p,Excellent
wifi,454,2.14,19.12,server,Fair
cellular,689,8.82,3.62,server,Poor
cellular,559,4.49,2.01,p2p,Poor
cellular,170,1.28,37.94,server,Good
cellular,81,1.2,18.55,server,Good
wifi,491,1.17,15.76,p2p,Poor
wifi,79,0.13,46.44,p2p,Good
wifi,60,0.96,75.27,server,Good
cellular,508,4.09,5.07,p2p,Poor
cellular,749,6.36,7.4,server,Fair
cellular,50,0.31,78.43,server,Good
wifi,52,0.98,40.86,p2p,Good
wifi,176,2.33,3.69,server,Poor
cellular,180,1.74,27.46,server,Good
wifi,214,1.58,3.46,p2p,Poor
wifi,1174,2.4,49.5,p2p,Poor
wifi,82,0.67,54.54,server,Good
wifi,137,0.5,86.14,server,Good
wifi,117,0.46,75.99,p2p,Good
wifi,38,0.08,285.19,p2p,Excellent
cellular,190,1.77,38.95,p2p,Fair
cellular,142,2.41,42.9,p2p,Fair
wifi,122,0.68,75.35,server,Good
wifi,121,0.85,83.73,p2p,Fair
cellular,434,7.41,2.18,server,Poor
wifi,495,3.17,3.38,server,Poor
wifi,3637,4.28,37.88,server,Poor
wifi,77,0.8,95.66,server,Good
cellular,447,9.67,8.14,server,Fair
wifi,881,9.0,43.45,p2p,Poor
cellular,825,5.56,8.35,p2p,Poor
wifi,27,0.07,272.53,p2p,Excellent
cellular,337,8.24,4.76,server,Poor
cellular,139,2.94,25.73,p2p,Fair
cellular,899,8.27,1.67,server,Poor
wifi,856,10.05,39.71,server,Poor
wifi,93,0.97,72.58,server,Good
wifi,1857,8.7,29.18,p2p,Poor
cellular,59,0.28,103.48,p2p,Good
cellular,115,2.67,18.59,server,Good
cellular,133,2.06,38.51,p2p,Fair
wifi,2686,7.28,8.35,p2p,Poor
cellular,150,0.57,14.8,p2p,Poor
wifi,42,0.04,266.81,p2p,Excellent
cellular,615,9.24,6.68,p2p,Poor
wifi,35,0.08,240.72,p2p,Excellent
wifi,148,0.66,26.62,server,Good
wifi,306,2.77,16.54,p2p,Poor
cellular,106,2.93,45.6,server,Good
wifi,478,4.33,21.7,server,Fair
cellular,150,2.76,15.62,p2p,Fair
wifi,47,0.04,174.43,server,Good
cellular,174,2.12,47.5,server,Good
cellular,44,0.02,157.09,p2p,Excellent
wifi,121,0.89,33.52,p2p,Fair
wifi,88,0.48,58.51,p2p,Good
wifi,432,1.22,22.55,server,Fair
wifi,106,0.37,79.86,server,Good
cellular,984,3.46,3.15,p2p,Poor
cellular,695,8.87,8.92,server,Fair
cellular,430,9.05,1.32,p2p,Poor
cellular,187,1.96,17.47,p2p,Fair
cellular,718,6.24,7.5,p2p,Poor
cellular,51,0.37,175.23,p2p,Good
cellular,66,0.25,184.13,p2p,Good
cellular,924,4.0,3.95,server,Poor
wifi,100,0.48,51.18,server,Good
wifi,55,0.69,57.93,server,Good
cellular,731,6.54,8.09,server,Fair
wifi,74,0.85,35.08,server,Good
wifi,391,3.67,13.56,p2p,Poor
cellular,209,6.98,9.36,p2p,Poor
wifi,129,0.84,74.7,server,Good
wifi,101,0.71,85.68,p2p,Good
wifi,48,0.03,206.5,server,Good
wifi,70,0.33,73.46,p2p,Good
wifi,277,3.56,10.1,p2p,Poor
cellular,58,0.42,193.95,p2p,Good
cellular,78,0.45,69.91,server,Good
wifi,244,2.33,14.13,p2p,Poor
wifi,48,0.08,289.58,p2p,Excellent
cellular,101,2.7,14.9,server,Good
cellular,205,3.75,1.78,p2p,Poor
cellular,71,0.47,80.29,server,Good
wifi,148,0.31,81.34,p2p,Fair
cellular,113,2.41,18.24,p2p,Fair
cellular,104,0.6,14.77,p2p,Poor
cellular,803,7.68,4.44,p2p,Poor
wifi,115,0.97,91.85,server,Good
cellular,57,0.46,172.76,server,Good
wifi,2093,5.68,25.02,server,Poor
wifi,90,0.36,76.42,p2p,Good
wifi,32,0.03,141.21,p2p,Excellent
cellular,729,7.18,3.15,server,Poor
cellular,973,9.45,6.76,p2p,Poor
cellular,144,1.67,25.29,server,Good
wifi,1390,5.61,36.14,server,Poor
wifi,59,0.92,99.14,p2p,Good
cellular,76,0.45,69.24,server,Good
cellular,405,6.74,6.01,p2p,Poor
cellular,49,0.1,144.3,server,Good
cellular,904,4.13,5.56,server,Fair
cellular,629,7.43,4.47,p2p,Poor
cellular,156,2.79,33.65,server,Good
cellular,911,3.62,4.24,server,Poor
cellular,334,7.22,2.75,p2p,Poor
cellular,55,0.41,150.47,server,Good
wifi,96,0.69,81.04,server,Good
cellular,189,0.88,40.87,server,Good
wifi,72,0.42,45.3,p2p,Good
wifi,78,0.18,91.62,server,Good
cellular,114,1.9,15.37,p2p,Fair
wifi,92,0.82,48.79,server,Good
wifi,115,0.96,91.93,p2p,Good
cellular,881,4.07,5.11,p2p,Poor
wifi,166,3.25,20.89,server,Good
wifi,248,1.43,9.17,p2p,Poor
cellular,74,0.06,91.8,server,Good
wifi,22,0.04,141.49,server,Good
wifi,127,0.39,61.07,server,Good
wifi,45,0.08,138.76,p2p,Excellent
wifi,84,0.14,92.42,server,Good
wifi,82,0.36,49.19,p2p,Good
wifi,116,0.29,56.68,p2p,Good
wifi,35,0.07,143.26,server,Good
cellular,482,9.76,1.2,server,Poor
wifi,70,0.48,42.7,p2p,Good
wifi,35,0.03,178.17,server,Good
wifi,17,0.03,180.52,p2p,Excellent
cellular,147,0.82,19.93,server,Good
cellular,195,2.07,13.73,server,Good
cellular,75,0.18,181.49,server,Good
wifi,156,4.9,11.45,server,Good
cellular,82,2.23,23.08,p2p,Fair
wifi,83,0.56,51.98,server,Good
wifi,91,0.99,96.27,p2p,Good
wifi,307,4.94,16.37,p2p,Poor
cellular,79,0.09,69.6,server,Good
wifi,76,0.61,76.98,p2p,Good
wifi,23,0.0,124.74,p2p,Excellent
wifi,167,1.36,13.6,server,Good
wifi,129,0.12,50.24,server,Good
cellular,177,2.28,45.96,p2p,Fair
cellular,173,1.29,39.56,p2p,Fair
cellular,260,3.21,2.45,server,Poor
cellular,188,0.78,42.52,p2p,Fair
cellular,931,9.85,7.75,p2p,Poor
cellular,169,1.23,25.2,server,Good
cellular,59,0.41,109.89,server,Good
cellular,64,0.19,141.84,server,Good
wifi,2406,1.23,27.11,p2p,Poor
cellular,78,0.31,63.6,p2p,Good
wifi,377,3.38,4.51,p2p,Poor
cellular,60,0.19,52.27,p2p,Good
wifi,112,0.24,43.24,p2p,Good
wifi,18,0.01,299.11,p2p,Excellent
cellular,50,0.02,120.01,p2p,Excellent
cellular,442,4.36,4.12,p2p,Poor
wifi,143,0.35,51.45,p2p,Fair
wifi,103,0.38,68.01,server,Good
wifi,231,4.72,2.33,server,Poor
wifi,38,0.03,107.91,server,Good
cellular,61,0.5,105.71,p2p,Good
wifi,26,0.02,269.34,p2p,Excellent
wifi,40,0.01,288.37,p2p,Excellent
wifi,314,3.9,13.54,server,Good
cellular,131,2.39,13.97,server,Good
wifi,119,0.13,78.2,p2p,Good
wifi,469,4.16,6.65,server,Fair
wifi,3851,14.03,19.83,p2p,Poor
wifi,33,0.06,112.9,p2p,Excellent
cellular,52,0.39,171.53,server,Good
cellular,52,0.34,75.75,p2p,Good
wifi,108,0.44,98.8,p2p,Good
wifi,99,0.55,26.74,p2p,Fair
cellular,142,1.82,20.42,server,Good
cellular,90,2.83,10.5,server,Good
wifi,142,0.61,40.68,server,Good
wifi,118,0.15,43.12,p2p,Good
wifi,3566,8.26,11.88,server,Poor
wifi,40,0.05,214.77,p2p,Excellent
wifi,140,0.73,68.77,p2p,Fair
cellular,280,8.42,5.23,server,Fair
cellular,333,6.43,1.78,p2p,Poor
cellular,349,6.36,6.3,p2p,Poor
cellular,173,0.56,41.74,p2p,Fair
cellular,167,1.42,39.3,p2p,Fair
wifi,40,0.06,236.64,p2p,Excellent
wifi,349,3.07,18.84,server,Good
wifi,473,1.22,8.19,p2p,Poor
wifi,332,1.31,8.21,p2p,Poor
cellular,108,1.58,42.75,p2p,Fair
cellular,165,0.61,28.5,server,Good
wifi,124,0.5,74.18,p2p,Fair
wifi,97,0.34,37.08,p2p,Fair
wifi,140,0.44,33.82,server,Good
wifi,226,3.51,9.03,server,Fair
wifi,2879,8.64,17.03,server,Poor
wifi,20,0.04,106.41,p2p,Excellent
wifi,243,4.15,11.66,server,Good
wifi,54,0.89,61.46,p2p,Good
cellular,50,0.03,117.12,p2p,Excellent
wifi,141,0.36,36.04,server,Good
cellular,59,0.13,105.31,p2p,Excellent
cellular,118,2.99,37.74,server,Good
cellular,46,0.18,88.86,server,Good
cellular,137,1.84,46.32,p2p,Fair
cellular,166,2.66,47.49,p2p,Fair
cellular,88,0.64,47.79,server,Good
wifi,51,0.43,58.38,server,Good
wifi,1271,5.68,43.53,server,Poor
cellular,177,2.97,25.15,p2p,Fair
cellular,73,0.39,83.89,server,Good
wifi,90,0.56,91.44,p2p,Good
wifi,2953,6.97,47.43,server,Poor
wifi,412,2.59,1.95,p2p,Poor
cellular,136,2.24,18.03,server,Good
cellular,62,0.25,67.69,server,Good
cellular,164,1.16,41.33,server,Good
cellular,124,2.74,19.22,server,Good
cellular,77,0.5,132.33,server,Good
wifi,1972,1.2,32.45,server,Poor
wifi,469,1.83,6.55,server,Fair
wifi,139,0.71,74.75,p2p,Fair
wifi,39,0.07,278.1,p2p,Excellent
cellular,147,1.65,19.7,server,Good
wifi,19,0.04,299.64,p2p,Excellent
cellular,75,0.29,198.23,server,Good
cellular,130,0.52,19.13,p2p,Fair
wifi,23,0.02,108.07,p2p,Excellent
wifi,315,4.45,12.07,p2p,Poor
wifi,39,0.1,211.38,p2p,Excellent
wifi,118,0.59,48.41,p2p,Good
cellular,103,2.89,45.32,server,Good
wifi,139,0.72,52.7,p2p,Fair
wifi,81,0.99,51.84,server,Good
wifi,776,14.42,24.06,server,Poor
wifi,2054,5.94,15.08,p2p,Poor
cellular,992,8.89,5.13,p2p,Poor
cellular,745,4.48,5.07,p2p,Poor
wifi,89,0.69,68.63,server,Good
cellular,170,1.92,21.74,p2p,Fair
cellular,132,1.96,16.05,p2p,Fair
wifi,34,0.09,299.1,p2p,Excellent
cellular,49,0.26,112.02,p2p,Good
cellular,83,1.26,32.15,p2p,Fair
cellular,165,2.54,37.65,p2p,Fair
wifi,475,2.26,3.72,p2p,Poor
cellular,63,0.28,75.79,p2p,Good
wifi,2790,10.69,21.63,p2p,Poor
cellular,137,1.08,31.41,p2p,Fair
cellular,162,1.19,37.61,p2p,Fair
cellular,196,0.92,39.06,server,Good
cellular,121,2.42,14.45,p2p,Poor
cellular,41,0.25,164.08,p2p,Good
wifi,204,2.89,15.83,server,Good
wifi,140,0.67,52.55,server,Good
cellular,62,0.24,90.76,server,Good
cellular,65,0.01,89.62,server,Good
wifi,94,0.49,89.66,server,Good
wifi,148,0.82,51.01,server,Good
wifi,102,0.19,89.64,server,Good
cellular,139,1.76,31.95,server,Good
cellular,69,0.1,78.77,p2p,Good
wifi,146,0.9,38.9,server,Good
wifi,252,4.37,6.84,p2p,Poor
wifi,34,0.01,126.23,server,Good
wifi,39,0.05,122.1,p2p,Excellent
cellular,51,0.39,115.06,server,Good
cellular,645,7.74,2.88,p2p,Poor
cellular,186,2.8,22.73,server,Good
cellular,121,0.77,37.66,server,Good
cellular,157,1.93,40.97,server,Good
cellular,130,1.1,29.01,p2p,Fair
cellular,363,5.77,1.8,p2p,Poor
cellular,76,0.2,181.85,p2p,Good
wifi,128,0.72,91.98,server,Good
cellular,192,1.03,14.73,server,Good
wifi,139,0.74,80.73,p2p,Fair
cellular,816,9.25,1.28,p2p,Poor
wifi,47,0.05,261.61,p2p,Excellent
wifi,120,0.19,68.89,p2p,Fair
wifi,59,0.22,44.45,p2p,Good
cellular,621,8.33,6.58,server,Fair
wifi,490,4.76,19.77,server,Fair
cellular,642,9.64,2.33,server,Poor
wifi,25,0.07,234.37,server,Good
wifi,107,0.37,48.91,server,Good
cellular,84,0.52,30.79,p2p,Fair
wifi,129,0.48,80.84,p2p,Fair
wifi,2819,1.62,33.27,server,Poor
wifi,93,0.12,46.41,p2p,Good
wifi,32,0.08,297.43,server,Good
wifi,289,4.01,17.83,server,Good
wifi,274,3.65,8.69,p2p,Poor
wifi,96,0.76,70.03,server,Good
